epoch,train_loss,train_recon_loss,train_kl_loss,val_loss,val_recon_loss,val_kl_loss
1,0.327759543299675,0.32231534440517423,5.44419922020038,0.14512143847942352,0.14190194206237794,3.219496484375
2,0.10723212464650472,0.10371832149426143,3.513802940877279,0.08254546165466309,0.0789897984623909,3.5556629791259766
3,0.07310206782420477,0.06952195674578349,3.5801108974456786,0.06272401031851768,0.05915313332676887,3.570876902770996
4,0.05884691942334175,0.05524761514465014,3.599304073969523,0.053007436907291414,0.049369321751594544,3.6381149948120117
5,0.05081371934612592,0.04719600828488668,3.6177108978271484,0.046610827213525774,0.04298446907401085,3.626357971572876
6,0.045602916518847146,0.04196930279334386,3.633613580576579,0.042105903732776645,0.03848292837738991,3.6229750923156736
7,0.041909667936960854,0.03826125817298889,3.6484095947265627,0.03984016510844231,0.03617895379662514,3.6612113288879393
8,0.03917708623011907,0.035526254266500475,3.650831769180298,0.037333155488967894,0.033648171937465665,3.6849834495544433
9,0.03697565911213557,0.03333048120439053,3.6451777497609457,0.03521598967313767,0.03157160589993,3.644383559036255
10,0.03514422906835874,0.03149085613985857,3.6533727535247804,0.03322009925544262,0.029579892659187316,3.6402064010620117
